,Player,Salary
0,A.J. Hammons,350088
1,Aaron Gordon,21590909
2,Aaron Holiday,1911960
3,Abdel Nader,1378242
4,Al Horford,28928710
5,Al Jefferson,4000000
6,Al-Farouq Aminu,6957105
7,Alec Burks,11536515
8,Alex Abrines,5455236
9,Alex Len,4350000
10,Alexis Ajinca,5285394
11,Alfonzo McKinnie,1349383
12,Alize Johnson,838464
13,Allen Crabbe,18500000
14,Amir Johnson,2393887
15,Anderson Varejao,1913345
16,Andre Drummond,25434263
17,Andre Iguodala,16000000
18,Andre Roberson,10000000
19,Andrew Nicholson,2844429
20,Andrew Wiggins,25467250
21,Anfernee Simons,1835520
22,Ante Zizic,1952760
23,Anthony Davis,25434263
24,Anthony Tolliver,5750000
25,Antonio Blakeney,1349383
26,Aron Baynes,5193600
27,Austin Rivers,12650000
28,Avery Bradley,12000000
29,Bam Adebayo,2955840
30,Ben McLemore,5460000
31,Ben Moore,1349383
32,Ben Simmons,6434520
33,Bismack Biyombo,17000000
34,Blake Griffin,32088932
35,Boban Marjanovic,7000000
36,Bobby Portis,2494346
37,Bogdan Bogdanovic,9000000
38,Bojan Bogdanovic,10500000
39,Brad Wanamaker,838464
40,Bradley Beal,25434263
41,Brandon Ingram,5757120
42,Brandon Knight,14631250
43,Brook Lopez,3382000
44,Bruce Brown,838464
45,Bryn Forbes,3125000
46,Buddy Hield,3833760
47,C.J. Miles,8333333
48,C.J. Watson,333333
49,CJ McCollum,25759766
50,Caleb Swanigan,1740000
51,Cameron Payne,3263294
52,Caris LeVert,1702800
53,Carlos Delfino,650000
54,Carmelo Anthony,27928140
55,Caron Butler,517219
56,Cedi Osman,2775000
57,Chandler Hutchison,1991520
58,Chandler Parsons,24107258
59,Channing Frye,2393887
60,Chasson Randle,1349383
61,Cheick Diallo,1544951
62,Chimezie Metu,838464
63,Chinanu Onuaku,1544951
64,Chris Bosh,26837720
65,Chris Paul,35654150
66,Christian Wood,1512601
67,Clint Capela,15293104
68,Cody Zeller,13528090
69,Cole Aldrich,685341
70,Collin Sexton,4068600
71,Cory Joseph,7945000
72,Courtney Lee,12253780
73,Cristiano Felicio,8470980
74,D'Angelo Russell,7019698
75,D.J. Augustin,7250000
76,D.J. Wilson,2534280
77,Dakari Johnson,459414
78,Damian Jones,1544951
79,Damian Lillard,27977689
80,Damyean Dotson,1378242
81,Daniel Hamilton,1349383
82,Daniel Theis,1378242
83,Danilo Gallinari,21587579
84,Danny Green,10000000
85,Dante Cunningham,2500000
86,Dante Exum,9600000
87,Dario Saric,2526840
88,Darius Miller,2205000
89,Darrell Arthur,7464912
90,Darren Collison,10000000
91,David Nwaba,1512601
92,Davis Bertans,7000000
93,Davon Reed,1378242
94,De'Aaron Fox,5470920
95,De'Anthony Melton,949000
96,DeAndre Jordan,22900000
97,DeAndre' Bembry,1634640
98,DeMar DeRozan,27739975
99,DeMarcus Cousins,5337000
100,DeMarre Carroll,15400000
101,Deandre Ayton,8165160
102,Dejounte Murray,1544951
103,Delon Wright,2536898
104,Demetrius Jackson,92857
105,Dennis Schroder,15500000
106,Dennis Smith,3819960
107,Denzel Valentine,2280600
108,Deron Williams,5474787
109,Derrick Favors,16900000
110,Derrick Jones,1512601
111,Derrick Rose,2176260
112,Derrick White,1667160
113,Devin Booker,3314365
114,Devin Harris,2393887
115,Devonte' Graham,988464
116,Dewayne Dedmon,7200000
117,Deyonta Davis,1544951
118,Dillon Brooks,1378242
119,Dion Waiters,11550000
120,Dirk Nowitzki,5000000
121,Domantas Sabonis,2659800
122,Donovan Mitchell,3111480
123,Donte DiVincenzo,2481000
124,Dorian Finney-Smith,1544951
125,Doug McDermott,7333334
126,Dragan Bender,4661280
127,Draymond Green,17469565
128,Dwayne Bacon,1378242
129,Dwight Howard,24256725
130,Dwight Powell,9631250
131,Dwyane Wade,2393887
132,Dzanan Musa,1632240
133,E'Twaun Moore,8808685
134,Ed Davis,4449000
135,Ekpe Udoh,3360000
136,Elfrid Payton,3000000
137,Elie Okobo,1238464
138,Emmanuel Mudiay,4294480
139,Enes Kanter,18622514
140,Eric Bledsoe,15000000
141,Eric Gordon,13500375
142,Ersan Ilyasova,7000000
143,Evan Fournier,17000000
144,Evan Turner,17868852
145,Festus Ezeli,333333
146,Frank Jackson,1378242
147,Frank Kaminsky,3627842
148,Frank Mason,1378242
149,Frank Ntilikina,4155720
150,Fred VanVleet,8653847
151,Furkan Korkmaz,1740000
152,Garlon Green,50000
153,Garrett Temple,8000000
154,Gary Harris,16517857
155,Gary Trent,838464
156,George Hill,19000000
157,Georges Niang,1512601
158,Georgios Papagiannis,2000400
159,Gerald Green,2393887
160,Giannis Antetokounmpo,24157304
161,Glenn Robinson,4075000
162,Goran Dragic,18109175
163,Gordon Hayward,31214295
164,Gorgui Dieng,15170787
165,Grayson Allen,2074320
